ludwigslust	10.594	53.110	11.854	53.110	11.854	53.653	10.594	53.653	10.594	53.110
roth	10.837	48.998	11.427	48.998	11.427	49.392	10.837	49.392	10.837	48.998
germersheim	8.055	48.967	8.413	48.967	8.413	49.298	8.055	49.298	8.055	48.967
müritz	12.275	53.188	13.185	53.188	13.185	53.698	12.275	53.698	12.275	53.188
fulda	9.427	50.356	10.083	50.356	10.083	50.810	9.427	50.810	9.427	50.356
st. wendel	6.890	49.409	7.310	49.409	7.310	49.639	6.890	49.639	6.890	49.409
rendsburg-eckernförde	9.305	54.009	10.199	54.009	10.199	54.647	9.305	54.647	9.305	54.009
osnabrück	7.602	52.036	8.517	52.036	8.517	52.709	7.602	52.709	7.602	52.036
leverkusen	6.898	51.011	7.116	51.011	7.116	51.097	6.898	51.097	6.898	51.011
salzlandkreis	11.234	51.629	12.020	51.629	12.020	52.093	11.234	52.093	11.234	51.629
aurich	7.034	53.536	7.369	53.536	7.369	53.724	7.034	53.724	7.034	53.536
bremen	8.482	53.011	8.991	53.011	8.991	53.597	8.482	53.597	8.482	53.011
olpe	7.703	50.925	8.246	50.925	8.246	51.248	7.703	51.248	7.703	50.925
dachau	11.110	48.202	11.582	48.202	11.582	48.456	11.110	48.456	11.110	48.202
heilbronn	9.045	49.093	9.301	49.093	9.301	49.211	9.045	49.211	9.045	49.093
teltow-fläming	12.770	51.791	13.653	51.791	13.653	52.412	12.770	52.412	12.770	51.791
cochem-zell	6.953	49.959	7.405	49.959	7.405	50.281	6.953	50.281	6.953	49.959
lichtenfels	10.875	49.990	11.364	49.990	11.364	50.219	10.875	50.219	10.875	49.990
minden-lübbecke	8.297	52.163	9.137	52.163	9.137	52.531	8.297	52.531	8.297	52.163
magdeburg	11.519	52.026	11.765	52.026	11.765	52.228	11.519	52.228	11.519	52.026
potsdam-mittelmark	12.217	51.979	13.312	51.979	13.312	52.557	12.217	52.557	12.217	51.979
breisgau-hochschwarzwald	7.530	47.743	8.440	47.743	8.440	48.117	7.530	48.117	7.530	47.743
krefeld	6.478	51.286	6.706	51.286	6.706	51.406	6.478	51.406	6.478	51.286
hochsauerlandkreis	7.864	51.093	8.971	51.093	8.971	51.550	7.864	51.550	7.864	51.093
pinneberg	7.884	54.169	7.909	54.169	7.909	54.193	7.884	54.193	7.884	54.169
baden-baden	8.109	48.667	8.321	48.667	8.321	48.847	8.109	48.847	8.109	48.667
aschaffenburg	9.080	49.921	9.238	49.921	9.238	50.021	9.080	50.021	9.080	49.921
bad kissingen	9.623	50.030	10.370	50.030	10.370	50.426	9.623	50.426	9.623	50.030
amberg	11.777	49.412	11.915	49.412	11.915	49.497	11.777	49.497	11.777	49.412
bernkastel-wittlich	6.681	49.673	7.264	49.673	7.264	50.132	6.681	50.132	6.681	49.673
osterode am harz	10.114	51.554	10.682	51.554	10.682	51.833	10.114	51.833	10.114	51.554
